*INFO* 	2019/08/25 - 17:38:21: JUSTPAY_LIVE_MODE
*INFO* 	2019/08/25 - 17:38:21: JUSTPAY_ENABLE_LOG
*INFO* 	2019/08/25 - 17:38:21: JUSTPAY_PUBLIC_KEY_TEST
*INFO* 	2019/08/25 - 17:38:21: JUSTPAY_SECURE_KEY_TEST
*INFO* 	2019/08/25 - 17:38:21: JUSTPAY_ENDPOINT_URL_TEST
*INFO* 	2019/08/25 - 17:38:21: JUSTPAY_PUBLIC_KEY_PRODUCTION
*INFO* 	2019/08/25 - 17:38:21: JUSTPAY_SECURE_KEY_PRODUCTION
*INFO* 	2019/08/25 - 17:38:21: JUSTPAY_ENDPOINT_URL_PRODUCTION
*INFO* 	2019/08/25 - 17:38:21: JUSTPAY_HANDLE_PAYMENT_METHOD
*INFO* 	2019/08/25 - 17:38:21: JUSTPAY_EXPIRATION_TIME
*INFO* 	2019/08/25 - 17:39:05: JUSTPAY_LIVE_MODE
*INFO* 	2019/08/25 - 17:39:05: JUSTPAY_ENABLE_LOG
*INFO* 	2019/08/25 - 17:39:05: JUSTPAY_PUBLIC_KEY_TEST
*INFO* 	2019/08/25 - 17:39:05: JUSTPAY_SECURE_KEY_TEST
*INFO* 	2019/08/25 - 17:39:05: JUSTPAY_ENDPOINT_URL_TEST
*INFO* 	2019/08/25 - 17:39:05: JUSTPAY_PUBLIC_KEY_PRODUCTION
*INFO* 	2019/08/25 - 17:39:05: JUSTPAY_SECURE_KEY_PRODUCTION
*INFO* 	2019/08/25 - 17:39:05: JUSTPAY_ENDPOINT_URL_PRODUCTION
*INFO* 	2019/08/25 - 17:39:05: JUSTPAY_HANDLE_PAYMENT_METHOD
*INFO* 	2019/08/25 - 17:39:05: JUSTPAY_EXPIRATION_TIME
*INFO* 	2019/08/25 - 17:39:31: 0
*INFO* 	2019/08/25 - 17:39:31: 0
*INFO* 	2019/08/25 - 17:39:31: 
*INFO* 	2019/08/25 - 17:39:31: 
*INFO* 	2019/08/25 - 17:39:31: 
*INFO* 	2019/08/25 - 17:39:31: 
*INFO* 	2019/08/25 - 17:39:31: 
*INFO* 	2019/08/25 - 17:39:31: 
*INFO* 	2019/08/25 - 17:39:31: redirection
*INFO* 	2019/08/25 - 17:39:31: 20
*INFO* 	2019/08/25 - 17:40:25: 0
*INFO* 	2019/08/25 - 17:40:25: 0
*INFO* 	2019/08/25 - 17:40:25: 
*INFO* 	2019/08/25 - 17:40:25: 
*INFO* 	2019/08/25 - 17:40:25: 
*INFO* 	2019/08/25 - 17:40:25: 
*INFO* 	2019/08/25 - 17:40:25: 
*INFO* 	2019/08/25 - 17:40:25: 
*INFO* 	2019/08/25 - 17:40:25: redirection
*INFO* 	2019/08/25 - 17:40:25: 20
